id,address,price,floor,total_floors,rooms,square,city,remont,balcon,uid,view,year,type_perec,hot_water,fundament,kitchen
1258,"улица имени Ф.И. Шаляпина, 31А",4500000,1,6,1,40.0,Краснодар,standard,1,2059172267,garden,2012,Железобетонный,Закрытая с приготовлением горячей воды на ЦТП,0,20 м2
1259,"Ленинский переулок, 20/1к10",3970000,13,16,1,43.3,Краснодар,standard,1,2056601633,garden,2014,Железобетонный,Закрытая с приготовлением горячей воды на ЦТП,Иной,"12,3 м2"
1260,"улица Селезнёва, 4/15к2",5400000,5,18,1,40.0,Краснодар,standard,1,2059474072,garden,2017,0,0,0,11 м2
1261,"улица Петра Метальникова, 13",5400000,8,10,1,44.9,Краснодар,standard,1,2056445058,garden,2015,Железобетонный,0,Ленточный,"13,4 м2"
1262,"Черкасская улица, 71/1к1",4400000,12,16,1,38.3,Краснодар,standard,1,1768512630,garden,2019,0,0,0,"11,5 м2"
1263,"улица Петра Метальникова, 7",3900000,9,18,1,33.8,Краснодар,standard,1,2058692350,garden,2015,Железобетонный,Закрытая с приготовлением горячей воды на ИТП,Иной,10 м2
1264,"улица имени В.М. Комарова, 21/1к8",3400000,3,11,1,28.0,Краснодар,standard,1,2058817385,garden,2020,Железобетонный,Центральное,0,9 м2
1265,"улица Можайского, 85",3149000,10,10,1,38.0,Тверь,standard,1,2059521105,park,2001,Железобетонный,0,0,"8,5 м2"
1266,"улица Маршала Конева, 20",3300000,1,11,1,38.0,Тверь,standard,1,2059394266,park,1996,0,0,0,9 м2
1267,"улица Бобкова, 36к4",2950000,9,9,1,35.7,Тверь,standard,1,1820211605,park,1988,0,0,0,"8,9 м2"
1268,"Спортивная улица, 3",12240000,5,22,1,76.5,Тольятти,without_repair,1,2059674155,park,2026,0,0,0,"22,5 м2"
1269,"улица Паши Савельевой, 48к2",3150000,2,7,1,36.1,Тверь,without_repair,1,2059449732,park,1989,Железобетонный,0,0,"8,8 м2"
1270,"Углеуральская улица, 25",5300000,14,16,1,36.4,Пермь,standard,1,2057791605,park,0,0,0,0,9 м2
1271,"улица Никонова, 23А",2100000,5,5,1,31.0,Тольятти,standard,1,2059872033,park,1970,Железобетонный,0,0,6 м2
1272,"Алданская улица, 20",3400000,4,5,1,37.1,Калининград,standard,1,2059506462,park,1986,Железобетонный,Центральное,0,"8,2 м2"
1273,"Алданская улица, 20",2950000,4,5,1,35.3,Калининград,standard,1,2059734471,park,1986,Железобетонный,Центральное,0,"8,7 м2"
1274,"улица им. Героя Яцкова И.В., 17",5500000,19,24,1,43.0,Краснодар,design,1,1751145685,garden,2018,Железобетонный,Центральное,0,12 м2
1275,"улица Константина Гондаря, 91",3950000,3,16,1,39.8,Краснодар,design,1,2059584871,garden,2023,Железобетонный,0,0,"18,5 м2"
1276,"Кореновская улица, 71",3950000,7,16,1,39.2,Краснодар,design,1,2059572225,garden,2010,Железобетонный,0,0,"19,6 м2"
1277,"улица им. Героя Яцкова И.В., 19к2",3900000,7,22,1,39.1,Краснодар,design,1,2059584888,garden,2022,Железобетонный,0,0,"18,9 м2"
1278,"улица им. Мурата Ахеджака, 12",3850000,6,12,1,38.2,Краснодар,design,1,2059572224,garden,2023,Железобетонный,0,0,"18,7 м2"
1279,"улица Красных Партизан, 1/4к15",3900000,7,19,1,38.9,Краснодар,design,1,2059584925,garden,2022,Железобетонный,0,0,"17,6 м2"
1280,"улица Цезаря Куникова, 24к3",4500000,7,17,1,44.0,Краснодар,design,1,2059610560,garden,0,0,0,0,19 м2
1281,"5-я Дорожная улица, 68к1",3900000,7,17,1,38.5,Краснодар,design,1,2059593941,garden,2018,Железобетонный,Центральное,0,"17,4 м2"
1282,"5-я Дорожная улица, 68к3",3900000,12,16,1,38.9,Краснодар,design,1,2059584934,garden,2017,Железобетонный,Центральное,0,"17,3 м2"
1283,"Восточно-Кругликовская улица, 42/3к1",3900000,6,17,1,39.2,Краснодар,design,1,2059584917,garden,0,0,0,0,"17,4 м2"
1284,"улица имени Героя Николая Шевелёва, 17",3900000,10,19,1,38.5,Краснодар,design,1,2059584886,garden,2023,Железобетонный,0,0,"17,4 м2"
1285,"Командорская улица, 6",3900000,6,19,1,38.9,Краснодар,design,1,2059584908,garden,2020,Железобетонный,0,0,"18,1 м2"
1286,"улица им. Героя Сарабеева В.И., 3/1",4050000,7,18,1,40.5,Краснодар,design,1,2059584868,garden,2017,Железобетонный,0,Иной,"19,9 м2"
1287,"улица Петра Метальникова, 3/1к2",3900000,9,17,1,39.1,Краснодар,design,1,2059593947,garden,2016,Железобетонный,0,Сплошной,"17,7 м2"
1288,"улица Григория Булгакова, 6",4000000,14,22,1,40.2,Краснодар,design,1,2059584898,garden,2022,Железобетонный,0,0,"18,9 м2"
1289,"улица Западный Обход, 45к5",4500000,10,19,1,41.0,Краснодар,design,1,2059610558,garden,2022,Железобетонный,Центральное,0,24 м2
1290,"улица Адмирала Крузенштерна, 5",4500000,10,19,1,38.0,Краснодар,design,1,2059610557,garden,2022,Железобетонный,Центральное,0,14 м2
1291,"улица имени Генерала Корнилова, 10",4400000,8,9,1,44.0,Краснодар,design,1,2059610563,garden,2024,Железобетонный,0,0,19 м2
1292,"улица Цезаря Куникова, 35",4500000,9,17,1,39.0,Краснодар,design,1,2059548333,garden,2018,Железобетонный,0,0,12 м2
1293,"улица Западный Обход, 57к3",5700000,14,16,1,36.8,Краснодар,design,1,2059479860,garden,2022,Железобетонный,0,0,12 м2
1294,"улица Героя Пешкова, 14к4",3980000,15,24,1,39.0,Краснодар,design,1,2059894435,garden,2022,Железобетонный,0,0,18 м2
1295,"улица Московская, 133 к3",4200000,8,9,1,42.0,Краснодар,design,1,2059888921,garden,0,0,0,0,18 м2
1296,"улица Григория Булгакова, 8",4200000,16,24,1,42.0,Краснодар,design,1,2059894434,garden,2022,Железобетонный,Центральное,0,20 м2
1297,"улица Александра Покрышкина, 2/3",3900000,9,18,1,39.2,Краснодар,design,1,2059584928,garden,2019,Железобетонный,Центральное,0,"18,1 м2"
1298,"улица Адмирала Крузенштерна, 6",3900000,7,18,1,38.9,Краснодар,design,1,2059584883,garden,2020,Железобетонный,Центральное,0,"18,9 м2"
1299,"улица имени Героя Георгия Бочарникова, 4",5300000,15,25,1,36.0,Краснодар,design,1,2056659771,garden,2021,0,0,0,11 м2
1300,"Восточно-Кругликовская улица, 24",6350000,13,16,1,38.3,Краснодар,design,1,1939119565,garden,2012,Железобетонный,0,0,10 м2
1301,"Гаражная улица, 87к1",8100000,2,25,1,37.8,Краснодар,design,1,2059636266,garden,2021,Железобетонный,0,0,12 м2
1302,"улица Григория Булгакова, 7",4000000,15,24,1,40.2,Краснодар,design,1,2059593936,garden,2023,Железобетонный,0,0,"18,8 м2"
1303,"Командорская улица, 9/1",3700000,8,17,1,37.3,Краснодар,design,1,2059572261,garden,2020,Железобетонный,0,0,"16,1 м2"
1304,"Заполярная улица, 35к6",5050000,9,10,1,36.0,Краснодар,design,1,2058510428,garden,2016,Железобетонный,0,Сплошной,10 м2
1305,"Душистая улица, 79к2",3900000,14,17,1,38.9,Краснодар,design,1,2059584932,garden,0,0,0,0,"17,7 м2"
1306,"бульвар Адмирала Пустошкина, 11/3",3900000,12,24,1,39.2,Краснодар,design,1,2059584942,garden,2021,Железобетонный,Центральное,0,"19,6 м2"
1307,"улица Красных Партизан, 1/4к16",3850000,10,19,1,38.2,Краснодар,design,1,2059584893,garden,2022,Железобетонный,0,0,"17,2 м2"
1308,"Московская улица, 137/1",5950000,8,16,1,59.2,Краснодар,design,1,2059584937,garden,2021,Железобетонный,0,0,"17,6 м2"
1309,"Домбайская улица, 63",3900000,5,19,1,39.2,Краснодар,design,1,2059572240,garden,2018,Железобетонный,Центральное,0,"19,6 м2"
1310,"улица Адмирала Серебрякова, 3",5450000,15,19,1,39.9,Краснодар,design,1,2057551721,garden,2019,0,0,0,"10,6 м2"
1311,"Гаражная улица, 87к1",8600000,2,25,1,37.8,Краснодар,design,1,2058439462,garden,2021,Железобетонный,0,0,12 м2
1312,"улица Цезаря Куникова, 24к1",3900000,5,17,1,38.7,Краснодар,design,1,2059593946,garden,2018,Железобетонный,0,0,"17,5 м2"
1313,"Командорская улица, 3к1",3900000,5,17,1,38.1,Краснодар,design,1,2059572232,garden,0,0,0,0,"17,1 м2"
1314,"Командорская улица, 6к1",3950000,8,16,1,39.1,Краснодар,design,1,2059584909,garden,0,0,0,0,"17,5 м2"
1315,"улица имени Героя Николая Шевелёва, 5",6350000,16,18,1,45.0,Краснодар,design,1,2058647045,garden,2019,Железобетонный,Центральное,0,15 м2
1316,"Адмиралтейский бульвар, 3",4200000,6,19,1,41.3,Краснодар,design,1,2059572265,garden,2023,Железобетонный,0,0,20 м2
1317,"бульвар Адмирала Пустошкина, 11",4100000,10,24,1,40.8,Краснодар,design,1,2059584882,garden,2021,Железобетонный,0,0,"18,7 м2"
1318,"улица имени Героя Николая Шевелёва, 1",3900000,9,18,1,38.9,Краснодар,design,1,2059584912,garden,2018,Железобетонный,Центральное,0,"17,9 м2"
1319,"улица имени Героя Георгия Бочарникова, 12/1",3900000,9,18,1,38.9,Краснодар,design,1,2059584946,garden,2022,Железобетонный,0,0,"18,2 м2"
1320,"улица Краеведа Соловьёва, 6к2",4550000,3,8,1,35.71,Краснодар,design,1,2058178799,garden,2022,Железобетонный,Центральное,0,"10,3 м2"
1321,"Российская улица, 72/1к1",4100000,5,17,1,41.3,Краснодар,design,1,2059572273,garden,2012,0,0,0,"19,6 м2"
1322,"улица имени Героя Георгия Бочарникова, 2лит1",4200000,11,24,1,41.5,Краснодар,design,1,2059572269,garden,2024,Железобетонный,0,0,"19,5 м2"
1323,"улица Красных Партизан, 1/3к1",3900000,4,8,1,38.5,Краснодар,design,1,2059593934,garden,2015,Железобетонный,0,0,"17,5 м2"
1324,"улица Архитектора Петина, 18/1",7800000,10,16,1,53.1,Краснодар,design,1,2058375981,garden,2014,Железобетонный,0,0,18 м2
1325,"Конгрессная улица, 33",5750000,15,22,1,36.0,Краснодар,design,1,2058885855,garden,2021,Железобетонный,0,0,10 м2
1326,"Дальний проезд, 9к1",8200000,11,19,1,49.0,Краснодар,design,1,2059303109,garden,2017,Железобетонный,0,Свайный,14 м2
1327,"улица Димитрова, 202",8200000,8,10,1,38.0,Краснодар,design,1,2059335484,garden,2018,Бетонный,Центральное,0,"11,9 м2"
1328,"улица имени Героя Николая Шевелёва, 3",3900000,10,24,1,38.9,Краснодар,design,1,2059584911,garden,2018,Железобетонный,Центральное,0,"18,1 м2"
1329,"микрорайон Любимово, 16",4800000,21,24,1,40.1,Краснодар,design,1,2059139132,garden,2022,Железобетонный,0,0,16 м2
1330,"улица имени Жлобы, 145",4100000,9,17,1,40.8,Краснодар,design,1,2059584890,garden,2016,Железобетонный,0,Иной,"18,4 м2"
1331,"улица Красных Партизан, 1/4к6",3900000,5,8,1,39.2,Краснодар,design,1,2059572246,garden,2021,Железобетонный,0,0,"18,5 м2"
1332,"Круговая улица, 4Вк5",7800000,10,18,1,40.0,Краснодар,design,1,2058015446,garden,2020,Железобетонный,Центральное,0,13 м2
1333,"улица имени Героя Георгия Бочарникова, 12/2",4200000,17,24,1,42.0,Краснодар,design,1,2059572268,garden,2022,Железобетонный,0,0,"18,7 м2"
1334,"улица Петра Метальникова, 40",3900000,12,24,1,39.3,Краснодар,design,1,2059584881,garden,0,0,0,0,"17,6 м2"
1335,"улица Адмирала Крузенштерна, 6/3",3900000,6,20,1,38.9,Краснодар,design,1,2059584943,garden,2021,Железобетонный,0,0,"19,5 м2"
